"country","mes","cancelaciones_mensuales","personas_mensuales","reservas_mensuales","cancelaciones_acumuladas","personas_acumuladas","reservas_acumuladas","ratio_cancelaciones","region","country_name"
"ALB",2015-07-01,0,2,1,0,2,1,0,"Europe","Albania"
"ARG",2015-07-01,0,5,2,0,5,2,0,"Americas","Argentina"
"AUS",2015-07-01,0,4,2,0,4,2,0,"Asia","Australia"
"AUT",2015-07-01,0,9,3,0,9,3,0,"Europe","Austria"
"BEL",2015-07-01,0,19,8,0,19,8,0,"Europe","Belgium"
"BRA",2015-07-01,0,53,24,0,53,24,0,"Americas","Brazil"
"CHE",2015-07-01,0,45,17,0,45,17,0,"Europe","Switzerland"
"CHN",2015-07-01,0,57,24,0,57,24,0,"Asia","China"
"CZE",2015-07-01,0,2,1,0,2,1,0,"Europe","Czechia"
"DEU",2015-07-01,0,38,18,0,38,18,0,"Europe","Germany"
"DNK",2015-07-01,0,11,5,0,11,5,0,"Europe","Denmark"
"ESP",2015-07-01,0,396,184,0,396,184,0,"Europe","Spain"
"EST",2015-07-01,0,4,1,0,4,1,0,"Europe","Estonia"
"FIN",2015-07-01,0,13,6,0,13,6,0,"Europe","Finland"
"FRA",2015-07-01,0,42,20,0,42,20,0,"Europe","France"
"GBR",2015-07-01,0,297,144,0,297,144,0,"Europe","United Kingdom"
"GRC",2015-07-01,0,2,1,0,2,1,0,"Europe","Greece"
"HRV",2015-07-01,0,2,1,0,2,1,0,"Europe","Croatia"
"HUN",2015-07-01,0,2,1,0,2,1,0,"Europe","Hungary"
"IDN",2015-07-01,0,4,1,0,4,1,0,"Asia","Indonesia"
"IRL",2015-07-01,0,145,70,0,145,70,0,"Europe","Ireland"
"ISR",2015-07-01,0,6,3,0,6,3,0,"Africa","Israel"
"ITA",2015-07-01,49,128,64,49,128,64,76.6,"Europe","Italy"
"LUX",2015-07-01,0,8,3,0,8,3,0,"Europe","Luxembourg"
"MAR",2015-07-01,0,2,1,0,2,1,0,"Africa","Morocco"
"MOZ",2015-07-01,0,5,2,0,5,2,0,"Africa","Mozambique"
"NLD",2015-07-01,0,29,14,0,29,14,0,"Europe","Netherlands"
"NOR",2015-07-01,0,21,9,0,21,9,0,"Europe","Norway"
"NULL",2015-07-01,0,21,13,0,21,13,0,"Other","Other"
"NZL",2015-07-01,0,2,1,0,2,1,0,"Asia","New Zealand"
"OMN",2015-07-01,0,2,1,0,2,1,0,"Africa","Oman"
"POL",2015-07-01,0,14,7,0,14,7,0,"Europe","Poland"
"ROU",2015-07-01,0,26,11,0,26,11,0,"Europe","Romania"
"RUS",2015-07-01,0,11,6,0,11,6,0,"Europe","Russia"
"SVN",2015-07-01,0,2,1,0,2,1,0,"Europe","Slovenia"
"SWE",2015-07-01,0,19,8,0,19,8,0,"Europe","Sweden"
"USA",2015-07-01,0,43,17,0,43,17,0,"Americas","United States"
"AGO",2015-08-01,0,23,14,0,23,14,0,"Africa","Angola"
"ARG",2015-08-01,0,4,2,0,9,4,0,"Americas","Argentina"
"AUS",2015-08-01,0,7,4,0,11,6,0,"Asia","Australia"
"AUT",2015-08-01,0,12,6,0,21,9,0,"Europe","Austria"
"BEL",2015-08-01,0,49,24,0,68,32,0,"Europe","Belgium"
"BGR",2015-08-01,0,3,2,0,3,2,0,"Europe","Bulgaria"
"BRA",2015-08-01,0,31,14,0,84,38,0,"Americas","Brazil"
"CHE",2015-08-01,0,40,19,0,85,36,0,"Europe","Switzerland"
"CHN",2015-08-01,0,32,14,0,89,38,0,"Asia","China"
"COL",2015-08-01,0,3,1,0,3,1,0,"Americas","Colombia"
"DEU",2015-08-01,0,129,69,0,167,87,0,"Europe","Germany"
"DNK",2015-08-01,0,6,2,0,17,7,0,"Europe","Denmark"
"DZA",2015-08-01,0,4,2,0,4,2,0,"Africa","Algeria"
"ESP",2015-08-01,40,1027,489,40,1423,673,5.9,"Europe","Spain"
"FIN",2015-08-01,0,2,1,0,15,7,0,"Europe","Finland"
"FRA",2015-08-01,1,376,179,1,418,199,0.5,"Europe","France"
"GBR",2015-08-01,0,233,109,0,530,253,0,"Europe","United Kingdom"
"GRC",2015-08-01,0,1,1,0,3,2,0,"Europe","Greece"
"HRV",2015-08-01,0,2,1,0,4,2,0,"Europe","Croatia"
"IND",2015-08-01,0,3,1,0,3,1,0,"Asia","India"
"IRL",2015-08-01,0,153,71,0,298,141,0,"Europe","Ireland"
"ISR",2015-08-01,0,38,25,0,44,28,0,"Africa","Israel"
"ITA",2015-08-01,67,389,197,116,517,261,44.4,"Europe","Italy"
"KAZ",2015-08-01,0,2,1,0,2,1,0,"Europe","Kazakhstan"
"LUX",2015-08-01,0,10,4,0,18,7,0,"Europe","Luxembourg"
"LVA",2015-08-01,0,3,1,0,3,1,0,"Europe","Latvia"
"MAR",2015-08-01,0,20,9,0,22,10,0,"Africa","Morocco"
"MEX",2015-08-01,0,6,4,0,6,4,0,"Americas","Mexico"
"MOZ",2015-08-01,1,6,3,1,11,5,20,"Africa","Mozambique"
"NLD",2015-08-01,0,51,24,0,80,38,0,"Europe","Netherlands"
"NOR",2015-08-01,0,17,8,0,38,17,0,"Europe","Norway"
"NULL",2015-08-01,0,26,12,0,47,25,0,"Other","Other"
"NZL",2015-08-01,0,3,1,0,5,2,0,"Asia","New Zealand"
"POL",2015-08-01,0,35,17,0,49,24,0,"Europe","Poland"
"ROU",2015-08-01,0,32,14,0,58,25,0,"Europe","Romania"
"RUS",2015-08-01,4,91,47,4,102,53,7.5,"Europe","Russia"
"SVN",2015-08-01,0,10,3,0,12,4,0,"Europe","Slovenia"
"SWE",2015-08-01,0,10,5,0,29,13,0,"Europe","Sweden"
"TUN",2015-08-01,0,4,2,0,4,2,0,"Africa","Tunisia"
"UKR",2015-08-01,0,1,1,0,1,1,0,"Europe","Ukraine"
